Overall,Name,Nation,AKA
80,Kerolin Nicoli,Brazil,
80,Oriane Jean-François,France,
80,Lisa Karl,Germany,
80,Hasret Kayikci,Germany,
80,Sophia Kleinherne,Germany,
80,Emma Koivisto,Finland,
80,Rosemonde Kouassi,Côte d'Ivoire,
80,Maëlle Lakrar,France,
80,Léa Le Garrec,France,
80,Merritt Mathias,United States,
80,Erëleta Memeti,Kosovo,
80,Carmen Menayo,Spain,
80,Sam Mewis,United States,
80,Sjoeke Nüsken,Germany,
80,Denise O'Sullivan,Republic of Ireland,
80,Géraldine Reuteler,Switzerland,
80,Faustine Robert,France,
80,Elisa Senß,Germany,
80,Sandie Toletti,France,
80,Marion Torrent,France,
80,Phallon Tullis-Joyce,United States,
80,Morgan Weaver,United States,
80,Christen Westphal,United States,
80,Sarah Zadrazil,Austria,
79,Vincent Aboubakar,Cameroon,
79,Nayef Aguerd,Morocco,
79,Joseph Aidoo,Ghana,
79,Ludovic Ajorque,France,
79,Thiago Almada,Argentina,
79,Marcos Alonso,Spain,
79,Benjamin André,France,
79,Emil Audero,Italy,
79,Fredrik Aursnes,Norway,
79,Azpilicueta,Spain,
79,Alexander Bah,Denmark,
79,Leon Bailey,Jamaica,
79,Ridle Baku,Germany,
79,Folarin Balogun,United States,
79,Éver Banega,Argentina,
79,Ricardo Pereira,Portugal,
79,Marc Bartra,Spain,
79,Christoph Baumgartner,Austria,
79,Walter Benítez,Argentina,
79,Yuri Berchiche,Spain,
79,Steven Bergwijn,Netherlands,
79,Gonçalo Inácio,Portugal,
79,Yves Bissouma,Mali,
79,Sacha Boey,France,
79,Giacomo Bonaventura,Italy,
79,Jarrod Bowen,England,
79,Dan Burn,England,
79,Rémy Cabella,France,
79,Antonio Candreva,Italy,
79,Marco Carnesecchi,Italy,
79,Nicolò Casale,Italy,
79,Matty Cash,Poland,
79,Valentin Castellanos,Argentina,
79,Catena,Spain,
79,Edinson Cavani,Uruguay,
79,Dani Ceballos,Spain,
79,Patrick Ciurria,Italy,
79,Andrea Consigli,Italy,
79,Cucurella,Spain,
79,Romarinho,Brazil,
79,Luuk de Jong,Netherlands,
79,Raúl de Tomás,Spain,
79,Thomas Delaney,Denmark,
79,Kerem Demirbay,Germany,
79,Michele Di Gregorio,Italy,
79,Lucas Digne,France,
79,Stole Dimitrievski,North Macedonia,
79,Axel Disasi,France,
79,Angeliño,Spain,
79,Eberechi Eze,England,
79,Łukasz Fabiański,Poland,
79,Ignacio Fernández,Argentina,
79,Wesley Fofana,France,
79,Przemysław Frankowski,Poland,
79,Gonçalo Guedes,Portugal,
79,Álvaro García,Spain,
79,Lutsharel Geertruida,Netherlands,
79,Carles Gil,Spain,
79,Alexandr Golovin,Russia,
79,Joe Gomez,England,
79,Moi Gómez,Spain,
79,Edgar,Spain,
79,Robin Gosens,Germany,
79,Amine Gouiri,France,
79,Ryan Gravenberch,Netherlands,
79,Michael Gregoritsch,Austria,
79,Marcelo Grohe,Brazil,
79,Mattéo Guendouzi,France,
79,Christian Günter,Germany,
79,Dean Henderson,England,
79,Ander Herrera,Spain,
79,Sergio Herrera,Spain,
79,Piero Hincapié,Ecuador,
79,Juanmi,Spain,
79,Kevin Kampl,Slovenia,
79,Lukas Klostermann,Germany,
79,Ezri Konsa,England,
79,Mohammed Kudus,Ghana,
79,Manuel Lazzari,Italy,
79,Philipp Lienhart,Austria,
79,Renan Lodi,Brazil,
79,David López,Spain,
79,Matheus Nunes,Portugal,
79,Robert Sánchez,Spain,
79,Harry Maguire,England,
79,Lovro Majer,Croatia,
79,José Sá,Portugal,
79,Steve Mandanda,France,
79,Solly March,England,
79,John McGinn,Scotland,
79,Callum McGregor,Scotland,
79,Scott McTominay,Scotland,
79,Ben Mee,England,
79,Nikola Milenković,Serbia,
79,Tyrone Mings,England,
79,Aleksandar Mitrović,Serbia,
79,Gonzalo Montiel,Argentina,
79,Morales,Spain,
79,Nordi Mukiele,France,
79,Luis Muriel,Colombia,
79,Juan Musso,Argentina,
79,Wilfred Ndidi,Nigeria,
79,Florian Neuhaus,Germany,
79,Alex Telles,Brazil,
79,Stefan Ortega,Germany,
79,Ayoze Pérez,Spain,
79,Mattia Perin,Italy,
79,Ivan Perišić,Croatia,
79,Kalvin Phillips,England,
79,Ethan Pinnock,Jamaica,
79,Yeremy Pino,Spain,
79,Christian Pulisic,United States,
79,Giacomo Raspadori,Italy,
79,Matheus Reis,Brazil,
79,Emanuel Reynoso,Argentina,
79,Lucas Robertone,Argentina,
79,Sebastian Rode,Germany,
79,Pedro,Spain,
79,Kaku,Paraguay,
79,Frederik Rønnow,Denmark,
79,Perr Schuurs,Netherlands,
79,Matz Sels,Belgium,
79,Marco Silvestri,Italy,
79,Mohamed Simakan,France,
79,Xavi Simons,Netherlands,
79,Douglas Luiz,Brazil,
79,Carlos Soler,Spain,
79,Alexander Sørloth,Norway,
79,Tomáš Souček,Czech Republic,
79,Josip Šutalo,Croatia,
79,James Tarkowski,England,
79,Pietro Terracciano,Italy,
79,Teddy Teuma,Malta,
79,Khéphren Thuram,France,
79,Marcus Thuram,France,
79,Jurriën Timber,Netherlands,
79,Jean-Clair Todibo,France,
79,Corentin Tolisso,France,
79,Óliver Torres,Spain,
79,Gernot Trauner,Austria,
79,Samuel Umtiti,France,
79,Lars Unnerstall,Germany,
79,Hans Vanaken,Belgium,
79,Jan Vertonghen,Belgium,
79,Edin Višća,Bosnia and Herzegovina,
79,Vivian,Spain,
79,Kevin Volland,Germany,
79,Nico Williams,Spain,
79,Axel Witsel,Belgium,
79,Denis Zakaria,Switzerland,
79,Davide Zappacosta,Italy,
79,Lucas Zelarayán,Armenia,
79,Carlos Augusto,Brazil,
79,Kurt Zouma,France,
79,Sara Agrež,Slovenia,
79,Emily Alvarado,Mexico,
79,Mackenzie Arnold,Australia,
79,Elizabeth Ball,United States,
79,Estefanía Banini,Argentina,
79,Molly Bartrip,England,
79,Vicki Becho,France,
79,Sharon Beck,Israel,
79,Janine Beckie,Canada,
79,Nathalie Björn,Sweden,
79,Florencia Bonsegundo,Argentina,
79,Dagný Brynjarsdóttir,Iceland,
79,Jelena Čanković,Serbia,
79,Marta Cardona,Spain,
79,Olga Carmona,Spain,
79,Grace Chanda,Zambia,
79,Allysha Chapman,Canada,
79,Mylène Chavas,France,
79,Hawa Cissoko,France,
79,Sam Coffey,United States,
79,Aldana Cometti,Argentina,
79,Rachel Corboz,United States,
79,Jovana Damnjanović,Serbia,
79,María De Alharilla,Spain,
79,Kristin Demann,Germany,
79,Makenzy Doniak,United States,
79,Julie Dufour,France,
79,Barbara Dunst,Austria,
79,Kristen Edmonds,United States,
79,Nicky Evrard,Belgium,
79,Meret Felde,Germany,
79,Jana Feldkamp,Germany,
79,Naomie Feller,France,
79,Louise Fleury,France,
79,Svenja Fölmli,Switzerland,
79,Sanni Franssi,Finland,
79,Sheila,Spain,
79,Gemma Gili,Spain,
79,Ana González,Spain,
79,Dominika Grabowska,Poland,
79,Jackie Groenen,Netherlands,
79,Maria-Luisa Grohs,Germany,
79,Shea Groom,United States,
79,Isabella Hartig,Germany,
79,Steph Houghton,England,
79,Lina Hurtig,Sweden,
79,Stina Johannes,Germany,
79,Lisa Kolb,Austria,
79,Taylor Kornieck,United States,
79,Melissa Kössler,Germany,
79,Natalia Kuikka,Finland,
79,Andréa Lardez,France,
79,Elene Lete,Spain,
79,Marie Levasseur,Canada,
79,María Valenzuela,Spain,
79,Katie Lund,United States,
79,Noëlle Maritz,Switzerland,
79,Sarah Mayling,England,
79,Savannah McCaskill,United States,
79,Jessica McDonald,United States,
79,Kristen McNabb,United States,
79,Andrea Medina,Spain,
79,Nuria Mendoza,Spain,
79,Kristie Mewis,United States,
79,Nérilia Mondésir,Haiti,
79,Marie Müller,Germany,
79,Adriana Nanclares,Spain,
79,Ifeoma Onumonu,Nigeria,
79,Diana Ordóñez,Mexico,
79,Andreea Părăluță,Romania,
79,Julie Pasquereau,France,
79,Lena Petermann,Germany,
79,Constance Picaud,France,
79,Itziar Pinillos,Spain,
79,Nichelle Prince,Canada,
79,Maximiliane Rall,Germany,
79,Cinta Rodríguez,Spain,
79,Ellie Roebuck,England,
79,Ebony Salmon,England,
79,Leicy Santos,Colombia,
79,Letícia Santos,Brazil,
79,Risa Shimizu,Japan,
79,Katja Snoeijs,Netherlands,
79,Kathellen Sousa,Brazil,
79,Michaela Specht,Germany,
79,Sofie Svava,Denmark,
79,Kateřina Svitková,Czech Republic,
79,Paula Tomás,Spain,
79,Ainhoa Moraza,Spain,
79,Wang Shuang,China PR,
79,Arin Wright,United States,
79,Lotte Wubben-Moy,England,
79,Shelina Zadorsky,Canada,
79,Weronika Zawistowska,Poland,
79,Claudia Zornoza,Spain,
78,Salis Abdul Samed,Ghana,
78,Tyler Adams,United States,
78,Pizzi,Portugal,
78,Rodrigo Aliendro,Argentina,
78,Joachim Andersen,Denmark,
78,Michail Antonio,Jamaica,
78,Alphonse Areola,France,
78,Gabriel Paulista,Brazil,
78,Serge Aurier,Côte d'Ivoire,
78,Sardar Azmoun,Iran,
78,Benoît Badiashile,France,
78,Simon Banza,France,
78,Antonín Barák,Czech Republic,
78,Sheraldo Becker,Suriname,
78,Héctor Bellerín,Spain,
78,Andrea Belotti,Italy,
78,Saïd Benrahma,Algeria,
78,Mergim Berisha,Germany,
78,Federico Bernardeschi,Italy,
78,Justin Bijlow,Netherlands,
78,Andre Blake,Jamaica,
78,Ludovic Blas,France,
78,Denis Bouanga,Gabon,
78,Jean Butez,France,
78,Nélson Semedo,Portugal,
78,Uğurcan Çakır,Turkey,
78,Mohamed Camara,Mali,
78,Maxence Caqueret,France,
78,Matheus Cunha,Brazil,
78,Gedson Fernandes,Portugal,
78,Gaetano Castrovilli,Italy,
78,Lucas Chevalier,France,
78,Eric Maxim Choupo-Moting,Cameroon,
78,Jasper Cillessen,Netherlands,
78,Jordy Clasie,Netherlands,
78,Santi Comesaña,Spain,
78,Igor Coronado,Brazil,
78,Dante,Brazil,
78,Vladimír Coufal,Czech Republic,
78,Gustavo Cuéllar,Colombia,
78,José Fonte,Portugal,
78,Mahmoud Dahoud,Germany,
78,Felipe,Brazil,
78,Nicolás De la Cruz,Uruguay,
78,Evanilson,Brazil,
78,Habib Diallo,Senegal,
78,Issa Diop,France,
78,Ritsu Doan,Japan,
78,Danilho Doekhi,Netherlands,
78,Oscar,Brazil,
78,Cheick Doucouré,Mali,
78,Sebastián Driussi,Argentina,
78,Martin Dúbravka,Slovakia,
78,Munir,Morocco,
78,Stephan El Shaarawy,Italy,
78,Breel Embolo,Switzerland,
78,Alfonso Espino,Uruguay,
78,Ansu Fati,Spain,
78,Aitor,Spain,
78,Remo Freuler,Switzerland,
78,Conor Gallagher,England,
78,Rubén García,Spain,
78,Fran García,Spain,
78,Pepelu,Spain,
78,Paulo Gazzaniga,Argentina,
78,Rachid Ghezzal,Algeria,
78,Samuel Gigot,France,
78,Santiago Giménez,Mexico,
78,Ismaily,Brazil,
78,Jonathan Gradit,France,
78,Pascal Groß,Germany,
78,Guaita,Spain,
78,Marc Guéhi,England,
78,Amadou Haidara,Mali,
78,Reo Hatate,Japan,
78,Hans Hateboer,Netherlands,
78,Thorgan Hazard,Belgium,
78,Ahmed Hegazi,Egypt,
78,Benjamin Henrichs,Germany,
78,Rico Henry,England,
78,Héctor Herrera,Mexico,
78,Junya Ito,Japan,
78,Nicolas Jackson,Senegal,
78,Florian Kainz,Austria,
78,Pierre Kalulu,France,
78,Rick Karsdorp,Netherlands,
78,Moise Kean,Italy,
78,Naby Keïta,Guinea,
78,Sead Kolašinac,Bosnia and Herzegovina,
78,Rade Krunić,Bosnia and Herzegovina,
78,Kodjo Fo-Doh Laba,Togo,
78,Alban Lafont,France,
78,Noa Lang,Netherlands,
78,Lee Jae Sung,Korea Republic,
78,Lee Kang In,Korea Republic,
78,Emerson Royal,Brazil,
78,Mario Lemina,Gabon,
78,Alex Sandro,Brazil,
78,Sean Longstaff,England,
78,Maxime Lopez,France,
78,Dejan Lovren,Croatia,
78,Dodi Lukébakio,Belgium,
78,Renato Sanches,Portugal,
78,Pablo Maffeo,Spain,
78,Nemanja Maksimović,Serbia,
78,Tyrell Malacia,Netherlands,
78,Ruslan Malinovskyi,Ukraine,
78,Agustín Marchesín,Argentina,
78,Fernando,Spain,
78,Konstantinos Mavropanos,Greece,
78,Philipp Max,Germany,
78,Bryan Mbeumo,Cameroon,
78,Junior Messias,Brazil,
78,Luis Milla,Spain,
78,Moncayola,Spain,
78,Hidemasa Morita,Japan,
78,Neto,Brazil,
78,Yvon Mvogo,Switzerland,
78,Galeno,Brazil,
78,Marcão,Brazil,
78,Fran Navarro,Spain,
78,Evan Ndicka,Côte d'Ivoire,
78,Tanguy Ndombele,France,
78,Victor Nelsson,Denmark,
78,Jota,Portugal,
78,M'Bala Nzola,Angola,
78,Michael Olise,France,
78,Caio Henrique,Brazil,
78,Mathías Olivera,Uruguay,
78,Riccardo Orsolini,Italy,
78,Salih Özcan,Turkey,
78,Vangelis Pavlidis,Greece,
78,Pedraza,Spain,
78,Nicolas Pépé,Côte d'Ivoire,
78,Matteo Pessina,Italy,
78,Quinn,Canada,
78,Predrag Rajković,Serbia,
78,Arthur,Brazil,
78,Jacob Ramsey,England,
78,David Raum,Germany,
78,Reguilón,Spain,
78,Tijjani Reijnders,Netherlands,
78,Sérgio Oliveira,Portugal,
78,Giovanni Reyna,United States,
78,André Almeida,Portugal,
78,Dani Rodríguez,Spain,
78,Sergio Romero,Argentina,
78,Mathew Ryan,Australia,
78,Alexis Saelemaekers,Belgium,
78,Antonio Sanabria,Paraguay,
78,Pablo Sarabia,Spain,
78,Gianluca Scamacca,Italy,
78,Stefano Sensi,Italy,
78,Giovanni Simeone,Argentina,
78,Luis Sinisterra,Colombia,
78,Emile Smith Rowe,England,
78,Borna Sosa,Croatia,
78,Djibril Sow,Switzerland,
78,Taras Stepanenko,Ukraine,
78,Lars Stindl,Germany,
78,Renato Tapia,Peru,
78,António Silva,Portugal,
78,James Tavernier,England,
78,Adrien Thomasson,France,
78,Takehiro Tomiyasu,Japan,
78,Óscar Trejo,Argentina,
78,Mike Trésor,Belgium,
78,Cengiz Ünder,Turkey,
78,Myrto Uzuni,Albania,
78,Micky van de Ven,Netherlands,
78,Branco van den Boomen,Netherlands,
78,Jamie Vardy,England,
78,Joey Veerman,Netherlands,
78,Gabri Veiga,Spain,
78,Joël Veltman,Netherlands,
78,Vesga,Spain,
78,Nikola Vlašić,Croatia,
78,Elye Wahi,France,
78,James Ward-Prowse,England,
78,Adam Webster,England,
78,Joe Willock,England,
78,Patrick Wimmer,Austria,
78,Marius Wolf,Germany,
78,Tere Abelleira,Spain,
78,Ivana Andrés,Spain,
78,Iris Arnaiz,Spain,
78,Emily Boyd,United States,
78,Pauline Bremer,Germany,
78,Signe Bruun,Denmark,
78,Jess Carter,England,
78,Cata Coll,Spain,
78,Laura Coombs,England,
78,Savannah DeMelo,United States,
78,Aida Esteve,Spain,
78,Lisa Evans,Scotland,
78,Laurina Fazer,France,
78,Nahikari,Spain,
78,Morgan Gautrat,United States,
78,Lee Gibson,Scotland,
78,Julia Grosso,Canada,
78,Sara Björk Gunnarsdóttir,Iceland,
78,Kirsty Hanson,Scotland,
78,Honoka Hayashi,Japan,
78,Manon Heil,France,
78,Oihane Hernández,Spain,
78,Giovanna Hoffmann,Germany,
78,Kelli Hubly,United States,
78,Nikola Karczewska,Poland,
78,Katarzyna Kiedrzynek,Poland,
78,Lee Geum Min,Korea Republic,
78,Martina Lenzini,Italy,
78,Sarai Linder,Germany,
78,Rosa Márquez,Spain,
78,Martín-Prieto,Spain,
78,Asun Martínez,Spain,
78,Zećira Mušović,Sweden,
78,Amanda Nildén,Sweden,
78,Aniek Nouwen,Netherlands,
78,Maite Oroz,Spain,
78,Sonia Ouchene,France,
78,Ella Palis,France,
78,Salma Paralluelo,Spain,
78,Jess Park,England,
78,Laëtitia Philippe,France,
78,Ally Prisock,United States,
78,Hayley Raso,Australia,
78,Ali Riley,New Zealand,
78,Kenti Robles,Mexico,
78,Yazmeen Ryan,United States,
78,Amanda Sampedro,Spain,
78,Lisa Schmitz,Germany,
78,Jéssica Silva,Portugal,
78,Abby Smith,United States,
78,Julie Soyer,France,
78,Sam Staab,United States,
78,Demi Stokes,England,
78,Chantelle Swaby,Jamaica,
78,Aïssatou Tounkara,France,
78,Martina Tufeković,Germany,
78,Millie Turner,England,
78,Paola Ulloa,Spain,
78,Irina Uribe,Spain,
78,Shanice van de Sanden,Netherlands,
78,Merel van Dongen,Netherlands,
78,Dani Weatherholt,United States,
78,Joelle Wedemeyer,Germany,
78,Manjou Wilde,Germany,
78,Riola Xhemaili,Switzerland,
78,McCall Zerboni,United States,
78,Yvonne Zielinski,Germany,
77,Yunis Abdelhamid,Morocco,
77,Luciano Acosta,Argentina,
77,Tosin Adarabioyo,England,
77,Amine Adli,Morocco,
77,Kerem Aktürkoğlu,Turkey,
77,Salem Al Dawsari,Saudi Arabia,
77,Nadiem Amiri,Germany,
77,Stephen Eustáquio,Canada,
77,Luís Maximiano,Portugal,
77,Franco Armani,Argentina,
77,Taiwo Awoniyi,Nigeria,
77,Loïc Badé,France,
77,Tommaso Baldanzi,Italy,
77,Iván Balliu,Albania,
77,Jonathan Bamba,France,
77,Igor Paixão,Brazil,
77,Esequiel Barco,Argentina,
77,Abdülkerim Bardakçı,Turkey,
77,Musa Barrow,Gambia,
77,Michy Batshuayi,Belgium,
77,Ihlas Bebou,Togo,
77,Juan Bernat,Spain,
77,Philip Billing,Denmark,
77,Janis Blaswich,Germany,
77,Daley Blind,Netherlands,
77,Willian,Brazil,
77,Fabio Borini,Italy,
77,Lucas Boyé,Argentina,
77,Martin Braithwaite,Denmark,B9
77,Ante Budimir,Croatia,
77,Santiago Bueno,Uruguay,
77,Alessandro Buongiorno,Italy,
77,Dominic Calvert-Lewin,England,
77,Gianluca Caprari,Italy,
77,Timothy Castagne,Belgium,
77,Danilo Cataldi,Italy,
77,Franco Cervi,Argentina,
77,Trevoh Chalobah,England,
77,Viktor Claesson,Sweden,
77,Dodô,Brazil,
77,Joaquín Correa,Argentina,
77,Jaume Costa,Spain,
77,Aaron Cresswell,England,
77,Danilo D'Ambrosio,Italy,
77,Ben Davies,Wales,
77,Craig Dawson,England,
77,De Frutos,Spain,
77,Vanderson,Brazil,
77,Michael,Brazil,
77,Merih Demiral,Turkey,
77,Paulinho,Portugal,
77,Samuel Lino,Brazil,
77,Eric Dier,England,
77,Sofiane Diop,France,
77,Yehvann Diouf,France,
77,Dakonam Djené,Togo,
77,Berat Djimsiti,Albania,
77,Jérémy Doku,Belgium,
77,Nicolás Domínguez,Argentina,
77,Éderson,Brazil,
77,Abdoulaye Doucouré,Mali,
77,Bartłomiej Drągowski,Poland,
77,Marvin Ducksch,Germany,
77,Harvey Elliott,England,
77,Nico Elvedi,Switzerland,
77,Gonzalo Escalante,Argentina,
77,Nicolò Fagioli,Italy,
77,Romain Faivre,France,
77,Fábio Vieira,Portugal,
77,Jordan Ferri,France,
77,Pablo Fornals,Spain,
77,Kyogo Furuhashi,Japan,
77,Levi García,Trinidad and Tobago,
77,Raúl García,Spain,
77,Rodrigo Garro,Argentina,
77,Yannick Gerhardt,Germany,
77,Morgan Gibbs-White,England,
77,Rafał Gikiewicz,Poland,
77,Bryan Gil,Spain,
77,Maximiliano Gómez,Uruguay,
77,Leandro González Pirez,Argentina,
77,Demarai Gray,Jamaica,
77,Marko Grujić,Serbia,
77,Idrissa Gueye,Senegal,
77,Pape Gueye,Senegal,
77,Serhou Guirassy,Guinea,
77,Arda Güler,Turkey,
77,Guruzeta,Spain,
77,Abderrazak Hamdallah,Morocco,
77,Javier Hernández,Mexico,
77,Bryan Heynen,Belgium,
77,Morten Hjulmand,Denmark,
77,Adam Hložek,Czech Republic,
77,Andreas Pereira,Brazil,
77,Tomáš Holeš,Czech Republic,
77,Timo Hübers,Germany,
77,Jonathan Ikoné,France,
77,Illarramendi,Spain,
77,Danny Ings,England,
77,Ko Itakura,Japan,
77,Vincent Janssen,Netherlands,
77,Adnan Januzaj,Belgium,
77,Sequeira,Portugal,
77,Curtis Jones,England,
77,Luka Jović,Serbia,
77,Josip Juranović,Croatia,
77,Ferdi Kadıoğlu,Turkey,
77,Saša Kalajdžić,Austria,
77,Jesper Karlsson,Sweden,
77,Michael Keane,England,
77,Justin Kluivert,Netherlands,
77,Robin Knoche,Germany,
77,Dominik Kohr,Germany,
77,Ghislain Konan,Côte d'Ivoire,
77,Kouadio Manu Koné,France,
77,Christian Kouamé,Côte d'Ivoire,
77,Christoph Kramer,Germany,
77,Ladislav Krejčí,Czech Republic,
77,Enzo Le Fée,France,
77,Florian Lejeune,France,
77,Clément Lenglet,France,
77,Jefferson Lerma,Colombia,
77,Jesper Lindstrøm,Denmark,
77,Marko Livaja,Croatia,
77,Diego Llorente,Spain,
77,Ruben Loftus-Cheek,England,
77,Pedro Neto,Portugal,
77,Castello Lukeba,France,
77,Saša Lukić,Serbia,
77,André Horta,Portugal,
77,Darwin Machís,Venezuela,
77,Noni Madueke,England,
77,Joakim Mæhle,Denmark,
77,Marcano,Spain,
77,Guillermo Maripán,Chile,
77,Lucas Martínez Quarta,Argentina,
77,Jordi Masip,Spain,
77,Clinton Mata,Angola,
77,Melendo,Spain,
77,Domingos Duarte,Portugal,
77,Pere Milla,Spain,
77,James Milner,England,
77,Yerry Mina,Colombia,
77,Rafa Mir,Spain,
77,Alexey Miranchuk,Russia,
77,Miranda,Spain,
77,Terem Moffi,Nigeria,
77,Johan Mojica,Colombia,
77,César Montes,Mexico,
77,Lorenzo Montipò,Italy,
77,Trincão,Portugal,
77,Youssoufa Moukoko,Germany,
77,Marshall Munetsi,Zimbabwe,
77,Daniel Muñoz,Colombia,
77,Rodrigo Becão,Brazil,
77,João Mário,Portugal,
77,Moussa Niakhaté,Senegal,
77,Felix Nmecha,Germany,
77,Lukas Nmecha,Germany,
77,Christian Nørgaard,Denmark,
77,Unai Núñez,Spain,
77,Anthony Nwakaeme,Nigeria,
77,Brian Oliván,Spain,
77,Emerson,Italy,
77,Leandro Paredes,Argentina,
77,Fabiano Parisi,Italy,
77,Jiří Pavlenka,Czech Republic,
77,Enzo Pérez,Argentina,
77,Andrea Petagna,Italy,
77,Orbelín Pineda,Mexico,
77,Alassane Plea,France,
77,Stefan Posch,Austria,
77,Yaroslav Rakitskyi,Ukraine,
77,Ante Rebić,Croatia,
77,Nathan Redmond,England,
77,Pepe Reina,Spain,
77,Thierry Correia,Portugal,
77,Mateo Retegui,Italy,
77,Diego Rico,Spain,
77,Manuel Riemann,Germany,
77,Riquelme,Spain,
77,Fábio Cardoso,Portugal,
77,Marcos Rojo,Argentina,
77,Luiz Henrique,Brazil,
77,Nicolò Rovella,Italy,
77,Raúl Ruidíaz,Peru,
77,Julian Ryerson,Norway,
77,Youssouf Sabaly,Senegal,
77,Umar Sadiq,Nigeria,
77,Davinson Sánchez,Colombia,
77,Rodri,Spain,
77,Baptiste Santamaria,France,
77,Marvin Schwäbe,Germany,
77,Mykola Shaparenko,Ukraine,
77,Oliver Skipp,England,
77,Łukasz Skorupski,Poland,
77,Andreas Skov Olsen,Denmark,
77,Manor Solomon,Israel,
77,Florian Sotoca,France,
77,Çağlar Söyüncü,Turkey,
77,Marco Sportiello,Italy,
77,Jeremiah St. Juste,Netherlands,
77,Nicolae Stanciu,Romania,
77,Gabriel Strefezza,Brazil,
77,Cristhian Stuani,Uruguay,
77,Damián Suárez,Uruguay,
77,Sebastian Szymański,Poland,
77,André Gomes,Portugal,
77,Arthur Theate,Belgium,
77,Malick Thiaw,Germany,
77,Lucas Torró,Spain,
77,Lucas Tousart,France,
77,Manu Trigueros,Spain,
77,Christopher Trimmel,Austria,
77,Anatoliy Trubin,Ukraine,
77,Konstantinos Tsimikas,Greece,
77,Bruma,Portugal,
77,Matt Turner,United States,
77,Destiny Udogie,Italy,
77,Martin Valjent,Slovakia,
77,Donny van de Beek,Netherlands,
77,Matías Vecino,Uruguay,
77,Wout Weghorst,Netherlands,
77,Mitchell Weiser,Germany,
77,Yoane Wissa,Congo DR,
77,Laia Aleixandri,Spain,
77,Filippa Angeldahl,Sweden,
77,Ana Vitória,Brazil,
77,Rinsola Babajide,England,
77,Inès Belloumou,France,
77,Alejandra Bernabé,Spain,
77,Rebecka Blomqvist,Sweden,
77,Rafaela Borggräfe,Germany,
77,Sofie Bredgaard,Denmark,
77,Amber Brooks,United States,
77,Luana Bühler,Switzerland,
77,Sarah Cambot,France,
77,Simone Charley,United States,
77,Gia Corley,United States,
77,Rachel Corsie,Scotland,
77,Carole Costa,Portugal,
77,Andreia Jacinto,Portugal,
77,Fabienne Dongus,Germany,
77,Caprice Dydasco,United States,
77,Estela Férnandez,Spain,
77,Inma Gabarro,Spain,
77,Aurora Galli,Italy,
77,Rocío Gálvez,Spain,
77,Gabrielle George,England,
77,Irene Guerrero,Spain,
77,Hannah Hampton,England,
77,Paola Hernández,Spain,
77,Tiny Hoekstra,Netherlands,
77,Olivia Holdt,Denmark,
77,Jaelin Howell,United States,
77,Inès Jaurena,France,
77,Estelle Johnson,Cameroon,
77,Elena Julve,Spain,
77,Alanna Kennedy,Australia,
77,Kristin Kögel,Germany,
77,Paulina Krumbiegel,Germany,
77,Mariana Larroquette,Argentina,
77,Claire Lavogez,France,
77,Adriana Leon,Canada,
77,Vicky Losada,Spain,
77,Batcheba Louis,Haiti,
77,Hanna Lundkvist,Sweden,
77,Shekiera Martinez,Germany,
77,Maria Méndez,Spain,
77,Maren Mjelde,Norway,
77,Caroline Møller,Denmark,
77,Kika Nazareth,Portugal,
77,Nerea Nevado,Spain,
77,Paige Nielsen,United States,
77,Freja Siri Olofsson,Sweden,
77,Toni Payne,Nigeria,
77,Macarena Portales,Spain,
77,Friederike Repohl,Germany,
77,Kaleigh Riehl,United States,
77,Cari Roccaro,United States,
77,Enith Salón,Spain,
77,Sandra Starke,Germany,
77,Greta Stegemann,Germany,
77,Samantha Steuerwald,Germany,
77,Tereza Szewieczková,Czech Republic,
77,Ana Tejada,Spain,
77,Lindsey Thomas,France,
77,Lilla Turanyi,Hungary,
77,Erika Tymrak,United States,
77,Marisa Viggiano,United States,
77,Lea Karólína Vilhjálmsdóttir,Iceland,
